",,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QWE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,"
"o.,DISEASE,,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No."
",Report Week,Week,Median 1951-55,1956,1955,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,"
",Chickenpox,""1,135"",""1,111"",""1,031"",""13,395"",""12,408"",""14,545"",1,3,2,-,-,6,30,39,17,-,-,1,276,244,230,579,621,503,29,18,26,A.P.,...,21,,,56,220,186,145,1"
",Diphtheria,8,2,3,36,32,38,-,-,-,-,-,-,-,-,-,-,-,-,8,-,1,-,-,-,-,-,-,-,-,-,... -,2,-,-,-,-,2"
",Dysentery:4,7,13,10,116,97,108,-,-,-,-,-,-,-,-,-,P...,,....,...,R.A.,...,3,7,4,1,-,-,-,-,-,-,-,-,3,6,7,3"
",(a) Amoebic,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,P...,,,,,P.A,-,-,-,-,-,-,-,-,-,-,-,-,-,I,I,4"
",(b) Facillary,7,13,10,116,97,100,-,-,-,-,-,-,-,-,-,R.P.,...,,9.8,A.A.,....,3,7,4.,1,-,-,-,-,-,-,-,-,3,6,7,5"
",Encephalitis, infectious,1,-,-,4,4,4,-,-,-,...,A.A.,P...,-,-,-,-,-,-,.A,,P.A.,A.A.,,a.a.,-,-,-,-,-,I,-,1,-,1,1,-,6"
",Influenza, epidemic,""2,230"",167,284,""4,953"",""18,776"",""3,020"",....,...,R.P.,65,27,....,63,46,107,-,-,1,-,-,-,26,74,24,1,2,1,I,B,-,,,,2075,10,200,7"
",Measles,""1,323"",""1,697"",""1,866"",""18,629"",""18,066"",""19,850"",4,16,9,14,15,3,44,103,42,-,-,-,235,390,314,857,949,668,58,39,100,9.8,16,51,-- 10,39,133,101,130,184,8"
",Meningitis, meningococcal,7,5,8,75,79,72,-,4,-,1,A.P.,...,-,-,-,-,-,1,1,1,1,4,-,2,-,-,-,-,-,-,,,,1,-,-,9"
"0,Mumps,""1,139"",820,941,""10,264"",""9,575"",""12,383"",-,-,1,6,2,4,9,3,39,-,-,-,202,216,220,623,369,381,78,35,35,R.P.,...,76,... ....,R.A. ..,P.O. 19,221,195,119,10"
"1,Poliomyelitis, epidemic:4,2,4,2,32,36,36,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,2,1,11"
"2,(a) With paralysis,2,3,2,20,28,28,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,1,-,12"
"3,(b) Without paralysis,-,1,-,7,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,13"
"4,Rubella,""2,154"",""2,194"",362,""16,179"",""5,436"",""3,055"",-,12,-,,,,34,31,10,,,,1027,1266,16,657,534,164,8,8,1,A.R,7,11,17,-,21,411,336,21,14"
"5,Scarlet fever, etc.⁵,415,401,459,""3,724"",""2,754"",""4,343"",1,2,-,16,18,7,26,32,9,1,-,19,104,89,100,205,204,68,5,14,15,1,-,10,36,24,42,20,18,57,15"
"6,Smallpox,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16"
"7,Tuberculosis:,150,193,201,""1,864"",""1,927"",""2,182"",5,4,4,-,4,-,6,1,4,3,24,11,44,66,84,22,20,28,7,18,10,5,22,7,24,12,18,34,22,27,17"
"8,(a) Pulmonary,117,150,163,""1,528"",""1,548"",""1,782"",5,4,3,-,2,-,6,1,4,3,23,11,42,58,80,(6),(6),(6),6,18,10,3,14,6,19,12,16,33,18,25,18"
"9,(b) Non-pulmonary,9,23,9,107,124,117,-,-,1,-,2,-,-,-,-,-,1,-,2,8,3,(6),(6),(6),1,-,-,-,8,1,5,A.P.,1,1,4,3,19"
"0,Typhoid and paratyphoid,3,2,8,70,36,107,-,-,-,-,-,-,-,-,-,-,-,-,3,-,5,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,20"
"1,Undulant fever,4,1,3,34,18,23,-,-,-,-,-,-,-,-,-,....,9.8,P...,2,....,2,-,1,-,1,-,-,-,-,-,1,A.R.,P.A.,-,-,-,21"
"2,Venereal diseases:,279,284,320,""3,555"",""3,795"",""3,876"",11,9,5,2,-,-,8,16,11,9,4,6,58,73,78,43,42,63,31,28,24,12,12,17,49,50,51,56,50,48,22"
"3,(a) Syphilis, primary,1,3,2,29,28,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,3,-,-,-,-,23"
"4,(b) secondary,-,1,4,13,8,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,I,-,I,I,-,1,I,-,-,-,24"
"5,(c) other,32,31,58,386,552,633,2,-,1,-,-,-,1,4,3,-,-,3,16,15,35,11,3,16,-,-,2,-,3,2,1,2,2,1,4,2,25"
"6,(d) Gonorrhoea,246,249,240,""3,127"",""3,200"",""3,108"",9,.9,3,2,-,-,7,12,8,9,4,3,42,58,56,32,39,41,30,28,22,12,9,17,48,44,48,55,46,44,26"
"7,(e) Other venereal diseases⁷,-,-,-,-,7,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27"
"8,Whooping cough,157,140,132,""1,869"",""3,878"",""2,063"",6,8,-,9,15,2,2,9,3,1,1,-,78,67,54,18,7,39,7,4,2,1,7,3,7,15,10,28,7,11,28"
