source_file,value_at_4,computed_sum,values_used,matches
cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,365,306,9:9;15:16;18:4;21:73;24:42;27:28;30:12;33:50;36:50;39:22,False
cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,284,301,9:11;12:2;15:8;18:9;21:58;24:43;27:31;30:12;33:49;36:56;39:22,False
cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,279,306,9:4;15:10;18:1;21:46;24:49;27:30;30:20;33:61;36:63;39:22,False
cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,284,292,9:5;15:8;18:4;21:79;24:46;27:29;30:18;33:35;36:46;39:22,False
cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,270,351,9:21;15:8;18:2;21:90;24:59;27:32;30:33;33:36;36:48;39:22,False
cdi_ca_1956_wk_prov_dbs_Part15_tables.csv,329,322,9:6;15:15;18:6;21:64;24:58;27:18;30:16;33:48;36:69;39:22,False
cdi_ca_1956_wk_prov_dbs_Part16_tables.csv,300,345,9:8;12:1;15:10;18:5;21:59;24:56;27:29;30:25;33:56;36:74;39:22,False
cdi_ca_1956_wk_prov_dbs_Part17_tables.csv,323,324,9:8;15:3;18:8;21:80;24:46;27:27;30:13;33:54;36:63;39:22,False
cdi_ca_1956_wk_prov_dbs_Part18_tables.csv,302,311,9:9;15:6;18:3;21:63;24:24;27:33;30:22;33:46;36:83;39:22,False
cdi_ca_1956_wk_prov_dbs_Part19_tables.csv,289,292,9:7;15:4;18:1;21:54;24:42;27:21;30:10;33:58;36:73;39:22,False
cdi_ca_1956_wk_prov_dbs_Part1_tables.csv,240,281,9:6;12:1;15:12;18:1;21:94;24:37;27:10;30:12;33:59;36:27;39:22,False
cdi_ca_1956_wk_prov_dbs_Part20_tables.csv,270,197,9:7;15:5;18:3;21:76;27:17;30:33;36:34;39:22,False
cdi_ca_1956_wk_prov_dbs_Part21_tables.csv,214,258,9:5;12:1;15:10;18:2;21:60;27:30;30:18;33:47;36:63;39:22,False
cdi_ca_1956_wk_prov_dbs_Part22_tables.csv,265,352,9:2;15:10;18:4;21:100;24:38;27:17;30:27;33:52;36:80;39:22,False
cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,330,333,9:7;12:1;15:13;18:4;21:65;24:50;27:22;30:34;33:59;36:56;39:22,False
cdi_ca_1956_wk_prov_dbs_Part24_tables.csv,311,349,9:13;12:1;15:4;18:4;21:70;24:39;27:22;30:27;33:59;36:88;39:22,False
cdi_ca_1956_wk_prov_dbs_Part25_tables.csv,327,304,15:8;18:2;21:50;24:46;27:21;30:23;33:56;36:76;39:22,False
cdi_ca_1956_wk_prov_dbs_Part26_tables.csv,282,295,9:2;15:2;18:6;21:46;24:29;27:17;30:30;33:54;36:87;39:22,False
cdi_ca_1956_wk_prov_dbs_Part27_tables.csv,1,23,39:23,False
cdi_ca_1956_wk_prov_dbs_Part28_tables.csv,,24,24:1;39:23,False
cdi_ca_1956_wk_prov_dbs_Part29_tables.csv,334,280,9:11;12:1;15:5;18:5;21:85;27:18;30:36;33:57;36:40;39:22,False
cdi_ca_1956_wk_prov_dbs_Part2_tables.csv,259,397,9:17;15:10;18:4;21:85;24:49;27:32;30:14;33:72;36:92;39:22,False
cdi_ca_1956_wk_prov_dbs_Part30_tables.csv,299,335,9:8;12:2;15:4;18:7;21:70;24:35;27:20;30:32;33:56;36:79;39:22,False
cdi_ca_1956_wk_prov_dbs_Part31_tables.csv,313,336,9:10;15:6;18:6;21:58;27:25;30:29;33:62;36:118;39:22,False
cdi_ca_1956_wk_prov_dbs_Part33_tables.csv,334,350,9:4;15:16;18:11;21:65;24:40;27:30;30:53;33:73;36:36;39:22,False
cdi_ca_1956_wk_prov_dbs_Part34_tables.csv,328,400,9:4;15:8;18:5;21:78;24:47;27:25;30:25;33:73;36:113;39:22,False
cdi_ca_1956_wk_prov_dbs_Part35_tables.csv,378,387,9:10;12:3;15:6;18:3;21:64;24:49;27:28;30:27;33:79;36:96;39:22,False
cdi_ca_1956_wk_prov_dbs_Part36_tables.csv,365,322,9:14;12:1;15:20;18:5;21:74;27:38;30:35;33:47;36:66;39:22,False
cdi_ca_1956_wk_prov_dbs_Part37_tables.csv,340,409,9:16;15:6;18:3;21:94;24:58;27:29;30:22;33:66;36:93;39:22,False
cdi_ca_1956_wk_prov_dbs_Part38_tables.csv,387,363,9:17;12:1;15:15;18:9;21:77;24:65;27:19;30:17;33:69;36:52;39:22,False
cdi_ca_1956_wk_prov_dbs_Part39_tables.csv,341,410,9:10;12:4;15:7;18:4;21:97;24:48;27:36;30:23;33:75;36:84;39:22,False
cdi_ca_1956_wk_prov_dbs_Part3_tables.csv,375,321,9:10;12:1;18:2;21:59;24:45;27:30;30:16;33:74;36:62;39:22,False
cdi_ca_1956_wk_prov_dbs_Part40_tables.csv,388,356,9:16;15:11;18:10;21:89;27:30;30:23;33:70;36:85;39:22,False
cdi_ca_1956_wk_prov_dbs_Part41_tables.csv,364,302,9:14;15:10;18:1;21:77;24:34;27:31;30:15;33:65;36:33;39:22,False
cdi_ca_1956_wk_prov_dbs_Part42_tables.csv,282,436,9:2;12:1;15:19;18:7;21:83;24:59;27:43;30:23;33:76;36:101;39:22,False
cdi_ca_1956_wk_prov_dbs_Part43_tables.csv,417,391,9:6;12:1;15:21;18:2;21:71;24:59;27:26;30:26;33:69;36:88;39:22,False
cdi_ca_1956_wk_prov_dbs_Part44_tables.csv,369,401,9:13;12:2;15:9;18:4;21:94;24:55;27:34;30:35;33:71;36:62;39:22,False
cdi_ca_1956_wk_prov_dbs_Part45_tables.csv,379,408,9:22;12:1;15:13;18:3;21:56;24:66;27:40;30:43;33:57;36:85;39:22,False
cdi_ca_1956_wk_prov_dbs_Part46_tables.csv,386,325,9:19;15:9;18:8;21:84;27:27;30:24;33:59;36:73;39:22,False
cdi_ca_1956_wk_prov_dbs_Part47_tables.csv,361,303,9:6;12:3;15:8;18:4;21:66;27:33;30:16;33:58;36:87;39:22,False
cdi_ca_1956_wk_prov_dbs_Part48_tables.csv,338,368,9:6;12:3;15:17;18:3;21:82;24:47;27:38;30:20;33:54;36:76;39:22,False
cdi_ca_1956_wk_prov_dbs_Part49_tables.csv,346,306,9:10;15:12;18:2;21:68;27:30;30:35;33:60;36:67;39:22,False
cdi_ca_1956_wk_prov_dbs_Part4_tables.csv,315,401,9:20;15:5;18:4;21:105;24:48;27:30;30:23;33:66;36:78;39:22,False
cdi_ca_1956_wk_prov_dbs_Part50_tables.csv,284,280,9:10;15:8;18:1;21:45;27:31;30:20;33:70;36:73;39:22,False
cdi_ca_1956_wk_prov_dbs_Part51_tables.csv,311,286,9:2;12:4;15:2;18:1;21:66;27:28;30:28;33:43;36:90;39:22,False
cdi_ca_1956_wk_prov_dbs_Part52_tables.csv,311,170,9:6;15:2;18:1;21:28;24:37;27:15;30:19;33:40;39:22,False
cdi_ca_1956_wk_prov_dbs_Part5_tables.csv,379,401,9:9;12:2;15:17;18:2;21:74;24:58;27:29;30:22;33:77;36:89;39:22,False
cdi_ca_1956_wk_prov_dbs_Part6_tables.csv,379,340,9:10;15:5;18:7;21:75;24:61;27:26;30:26;33:39;36:69;39:22,False
cdi_ca_1956_wk_prov_dbs_Part7_tables.csv,318,315,9:8;12:1;18:5;21:71;24:55;27:25;30:21;33:39;36:68;39:22,False
cdi_ca_1956_wk_prov_dbs_Part8_tables.csv,297,325,9:8;15:11;18:3;21:60;24:45;27:33;30:13;33:54;36:76;39:22,False
cdi_ca_1956_wk_prov_dbs_Part9_tables.csv,303,337,9:7;12:1;15:8;18:4;21:109;24:73;27:42;30:20;36:51;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,365,306,9:9;15:16;18:4;21:73;24:42;27:28;30:12;33:50;36:50;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,284,301,9:11;12:2;15:8;18:9;21:58;24:43;27:31;30:12;33:49;36:56;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,279,306,9:4;15:10;18:1;21:46;24:49;27:30;30:20;33:61;36:63;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,284,292,9:5;15:8;18:4;21:79;24:46;27:29;30:18;33:35;36:46;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,270,351,9:21;15:8;18:2;21:90;24:59;27:32;30:33;33:36;36:48;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part15_tables.csv,329,322,9:6;15:15;18:6;21:64;24:58;27:18;30:16;33:48;36:69;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part16_tables.csv,300,345,9:8;12:1;15:10;18:5;21:59;24:56;27:29;30:25;33:56;36:74;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part17_tables.csv,323,324,9:8;15:3;18:8;21:80;24:46;27:27;30:13;33:54;36:63;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part18_tables.csv,302,311,9:9;15:6;18:3;21:63;24:24;27:33;30:22;33:46;36:83;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part19_tables.csv,289,292,9:7;15:4;18:1;21:54;24:42;27:21;30:10;33:58;36:73;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part1_tables.csv,240,281,9:6;12:1;15:12;18:1;21:94;24:37;27:10;30:12;33:59;36:27;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part20_tables.csv,270,197,9:7;15:5;18:3;21:76;27:17;30:33;36:34;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part21_tables.csv,214,258,9:5;12:1;15:10;18:2;21:60;27:30;30:18;33:47;36:63;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part22_tables.csv,265,352,9:2;15:10;18:4;21:100;24:38;27:17;30:27;33:52;36:80;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,330,333,9:7;12:1;15:13;18:4;21:65;24:50;27:22;30:34;33:59;36:56;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part24_tables.csv,311,349,9:13;12:1;15:4;18:4;21:70;24:39;27:22;30:27;33:59;36:88;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part25_tables.csv,327,304,15:8;18:2;21:50;24:46;27:21;30:23;33:56;36:76;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part26_tables.csv,282,295,9:2;15:2;18:6;21:46;24:29;27:17;30:30;33:54;36:87;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part27_tables.csv,1,23,39:23,False
padded_cdi_ca_1956_wk_prov_dbs_Part28_tables.csv,,24,24:1;39:23,False
padded_cdi_ca_1956_wk_prov_dbs_Part29_tables.csv,334,280,9:11;12:1;15:5;18:5;21:85;27:18;30:36;33:57;36:40;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part2_tables.csv,259,397,9:17;15:10;18:4;21:85;24:49;27:32;30:14;33:72;36:92;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part30_tables.csv,299,335,9:8;12:2;15:4;18:7;21:70;24:35;27:20;30:32;33:56;36:79;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part31_tables.csv,313,336,9:10;15:6;18:6;21:58;27:25;30:29;33:62;36:118;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part32_tables.csv,359,348,9:10;15:6;18:6;21:58;24:34;27:25;30:29;33:62;36:118,False
padded_cdi_ca_1956_wk_prov_dbs_Part33_tables.csv,334,350,9:4;15:16;18:11;21:65;24:40;27:30;30:53;33:73;36:36;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part34_tables.csv,328,400,9:4;15:8;18:5;21:78;24:47;27:25;30:25;33:73;36:113;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part35_tables.csv,378,387,9:10;12:3;15:6;18:3;21:64;24:49;27:28;30:27;33:79;36:96;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part36_tables.csv,365,322,9:14;12:1;15:20;18:5;21:74;27:38;30:35;33:47;36:66;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part37_tables.csv,340,409,9:16;15:6;18:3;21:94;24:58;27:29;30:22;33:66;36:93;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part38_tables.csv,387,363,9:17;12:1;15:15;18:9;21:77;24:65;27:19;30:17;33:69;36:52;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part39_tables.csv,341,410,9:10;12:4;15:7;18:4;21:97;24:48;27:36;30:23;33:75;36:84;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part3_tables.csv,375,321,9:10;12:1;18:2;21:59;24:45;27:30;30:16;33:74;36:62;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part40_tables.csv,388,356,9:16;15:11;18:10;21:89;27:30;30:23;33:70;36:85;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part41_tables.csv,364,302,9:14;15:10;18:1;21:77;24:34;27:31;30:15;33:65;36:33;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part42_tables.csv,282,436,9:2;12:1;15:19;18:7;21:83;24:59;27:43;30:23;33:76;36:101;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part43_tables.csv,417,391,9:6;12:1;15:21;18:2;21:71;24:59;27:26;30:26;33:69;36:88;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part44_tables.csv,369,401,9:13;12:2;15:9;18:4;21:94;24:55;27:34;30:35;33:71;36:62;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part45_tables.csv,379,408,9:22;12:1;15:13;18:3;21:56;24:66;27:40;30:43;33:57;36:85;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part46_tables.csv,386,325,9:19;15:9;18:8;21:84;27:27;30:24;33:59;36:73;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part47_tables.csv,361,303,9:6;12:3;15:8;18:4;21:66;27:33;30:16;33:58;36:87;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part48_tables.csv,338,368,9:6;12:3;15:17;18:3;21:82;24:47;27:38;30:20;33:54;36:76;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part49_tables.csv,346,306,9:10;15:12;18:2;21:68;27:30;30:35;33:60;36:67;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part4_tables.csv,315,401,9:20;15:5;18:4;21:105;24:48;27:30;30:23;33:66;36:78;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part50_tables.csv,284,280,9:10;15:8;18:1;21:45;27:31;30:20;33:70;36:73;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part51_tables.csv,311,286,9:2;12:4;15:2;18:1;21:66;27:28;30:28;33:43;36:90;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part52_tables.csv,311,170,9:6;15:2;18:1;21:28;24:37;27:15;30:19;33:40;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part5_tables.csv,379,401,9:9;12:2;15:17;18:2;21:74;24:58;27:29;30:22;33:77;36:89;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part6_tables.csv,379,340,9:10;15:5;18:7;21:75;24:61;27:26;30:26;33:39;36:69;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part7_tables.csv,318,315,9:8;12:1;18:5;21:71;24:55;27:25;30:21;33:39;36:68;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part8_tables.csv,297,325,9:8;15:11;18:3;21:60;24:45;27:33;30:13;33:54;36:76;39:22,False
padded_cdi_ca_1956_wk_prov_dbs_Part9_tables.csv,303,337,9:7;12:1;15:8;18:4;21:109;24:73;27:42;30:20;36:51;39:22,False
